date,cases,deaths,deaths_normalized,cases_normalized,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_driving,apple_transit,apple_walking,maskScore,mask_never,mask_rarely,mask_sometimes,mask_frequently,mask_always,PSScore
2020-02-15,1,0,0.0,9.961045339988904e-06,1.0,0.0,13.0,-1.0,-1.0,0.0,127.17,97.16,163.51,8.93,0.021,0.013,0.049,0.131,0.786,0.3563669779129557
2020-02-16,1,0,0.0,9.961045339988904e-06,4.0,-1.0,27.0,-1.0,0.0,-1.0,102.67,84.29,131.93,8.93,0.021,0.013,0.049,0.131,0.786,0.3563669779129557
2020-02-17,1,0,0.0,9.961045339988904e-06,7.0,0.0,30.0,-11.0,-32.0,7.0,106.12,100.06,115.72,8.93,0.021,0.013,0.049,0.131,0.786,0.3563669779129557
2020-02-18,1,0,0.0,9.961045339988904e-06,-1.0,0.0,11.0,2.0,2.0,0.0,116.7,124.04,113.1,8.93,0.021,0.013,0.049,0.131,0.786,0.3563669779129557
2020-02-19,1,0,0.0,9.961045339988904e-06,-1.0,-1.0,13.0,1.0,2.0,0.0,117.43,120.52,114.55,8.93,0.021,0.013,0.049,0.131,0.786,0.3563669779129557
2020-02-20,1,0,0.0,9.961045339988904e-06,1.0,0.0,11.0,2.0,2.0,-1.0,123.52,123.55,121.73,8.93,0.021,0.013,0.049,0.131,0.786,0.3563669779129557
2020-02-21,1,0,0.0,9.961045339988904e-06,1.0,0.0,7.0,0.0,2.0,0.0,137.35,123.96,143.48,8.93,0.021,0.013,0.049,0.131,0.786,0.3563669779129557
2020-02-22,1,0,0.0,9.961045339988904e-06,-1.0,-1.0,-13.0,-5.0,1.0,1.0,127.85,98.14,156.53,8.93,0.021,0.013,0.049,0.131,0.786,0.3563669779129557
2020-02-23,1,0,0.0,9.961045339988904e-06,4.0,1.0,13.0,0.0,2.0,0.0,102.06,85.71,124.05,8.93,0.021,0.013,0.049,0.131,0.786,0.3563669779129557
2020-02-24,1,0,0.0,9.961045339988904e-06,1.0,-1.0,8.0,2.0,4.0,-1.0,113.03,122.48,113.91,8.93,0.021,0.013,0.049,0.131,0.786,0.3563669779129557
2020-02-25,1,0,0.0,9.961045339988904e-06,2.0,1.0,13.0,3.0,3.0,-1.0,116.54,121.09,112.03,8.93,0.021,0.013,0.049,0.131,0.786,0.3563669779129557
2020-02-26,1,0,0.0,9.961045339988904e-06,3.0,2.0,11.0,2.0,3.0,-1.0,115.97,116.66,111.59,8.93,0.021,0.013,0.049,0.131,0.786,0.3563669779129557
2020-02-27,1,0,0.0,9.961045339988904e-06,3.0,2.0,14.0,3.0,2.0,-1.0,120.33,116.52,115.84,8.93,0.021,0.013,0.049,0.131,0.786,0.3563669779129557
2020-02-28,1,0,0.0,9.961045339988904e-06,4.0,4.0,10.0,2.0,3.0,-1.0,134.74,121.71,140.82,8.93,0.021,0.013,0.049,0.131,0.786,0.3563669779129557
2020-02-29,1,0,0.0,9.961045339988904e-06,3.0,4.0,11.0,0.0,2.0,-1.0,132.4,102.04,162.74,8.93,0.021,0.013,0.049,0.131,0.786,0.3563669779129557
2020-03-01,1,0,0.0,9.961045339988904e-06,4.0,3.0,-5.0,-3.0,1.0,0.0,95.64,79.08,110.79,8.93,0.021,0.013,0.049,0.131,0.786,0.3563669779129557
2020-03-02,1,0,0.0,9.961045339988904e-06,5.0,5.0,8.0,1.0,4.0,-1.0,107.51,112.19,109.51,8.93,0.021,0.013,0.049,0.131,0.786,0.3563669779129557
2020-03-03,1,0,0.0,9.961045339988904e-06,8.0,7.0,32.0,2.0,3.0,-1.0,117.24,119.9,125.08,8.93,0.021,0.013,0.049,0.131,0.786,0.3563669779129557
2020-03-04,7,0,0.0,6.972731737992234e-05,4.0,6.0,9.0,-1.0,2.0,0.0,113.82,114.28,111.1,8.93,0.021,0.013,0.049,0.131,0.786,0.3563669779129557
2020-03-05,11,0,0.0,0.00010957149873987795,4.0,7.0,9.0,0.0,2.0,0.0,122.17,115.14,118.13,8.93,0.021,0.013,0.049,0.131,0.786,0.3563669779129557
2020-03-06,13,0,0.0,0.00012949358941985578,3.0,6.0,7.0,-2.0,2.0,0.0,135.24,119.09,139.86,8.93,0.021,0.013,0.049,0.131,0.786,0.3563669779129557
2020-03-07,14,0,0.0,0.00013945463475984469,1.0,6.0,3.0,-4.0,2.0,0.0,126.34,97.48,157.94,8.93,0.021,0.013,0.049,0.131,0.786,0.3563669779129557
2020-03-08,14,0,0.0,0.00013945463475984469,3.0,4.0,16.0,-4.0,1.0,0.0,100.08,80.86,130.57,8.93,0.021,0.013,0.049,0.131,0.786,0.3563669779129557
2020-03-09,19,0,0.0,0.00018925986145978922,3.0,7.0,6.0,-4.0,3.0,0.0,103.92,106.29,103.84,8.93,0.021,0.013,0.049,0.131,0.786,0.3563669779129557
2020-03-10,20,0,0.0,0.00019922090679977812,-3.0,3.0,-29.0,-13.0,-2.0,3.0,104.27,94.95,97.11,8.93,0.021,0.013,0.049,0.131,0.786,0.3563669779129557
2020-03-11,28,1,9.961045339988904e-06,0.00027890926951968937,2.0,11.0,5.0,-6.0,0.0,1.0,105.27,101.93,105.39,8.93,0.021,0.013,0.049,0.131,0.786,0.3563669779129557
