date,cases,deaths,deaths_normalized,cases_normalized,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_driving,apple_transit,apple_walking,maskScore,mask_never,mask_rarely,mask_sometimes,mask_frequently,mask_always,PSScore
2020-03-01,1,0,0.0,1.1994985616212998e-05,23.0,9.0,33.0,5.0,10.0,-2.0,99.76,84.89,102.44,9.06,0.044,0.028,0.051,0.066,0.812,0.5803981165590549
2020-03-02,1,0,0.0,1.1994985616212998e-05,14.0,7.0,40.0,3.0,9.0,-1.0,96.3,87.22,100.47,9.06,0.044,0.028,0.051,0.066,0.812,0.5803981165590549
2020-03-03,2,0,0.0,2.3989971232425996e-05,14.0,9.0,36.0,6.0,5.0,-1.0,98.74,90.22,97.39,9.06,0.044,0.028,0.051,0.066,0.812,0.5803981165590549
2020-03-04,2,0,0.0,2.3989971232425996e-05,11.0,8.0,7.0,12.0,4.0,0.0,103.39,94.39,108.45,9.06,0.044,0.028,0.051,0.066,0.812,0.5803981165590549
2020-03-05,4,0,0.0,4.797994246485199e-05,13.0,11.0,48.0,12.0,1.0,-1.0,110.85,99.33,115.85,9.06,0.044,0.028,0.051,0.066,0.812,0.5803981165590549
2020-03-06,5,0,0.0,5.9974928081064994e-05,6.0,2.0,12.0,6.0,0.0,1.0,125.92,110.15,121.72,9.06,0.044,0.028,0.051,0.066,0.812,0.5803981165590549
2020-03-07,12,0,0.0,0.00014393982739455596,24.0,10.0,27.0,17.0,3.0,-1.0,132.34,113.11,149.46,9.06,0.044,0.028,0.051,0.066,0.812,0.5803981165590549
2020-03-08,14,0,0.0,0.000167929798626982,25.0,9.0,126.0,14.0,8.0,-2.0,99.64,82.55,109.48,9.06,0.044,0.028,0.051,0.066,0.812,0.5803981165590549
2020-03-09,20,0,0.0,0.00023989971232425998,13.0,12.0,134.0,8.0,7.0,-1.0,100.97,86.84,113.63,9.06,0.044,0.028,0.051,0.066,0.812,0.5803981165590549
2020-03-10,37,0,0.0,0.0004438144677998809,8.0,7.0,10.0,4.0,4.0,1.0,95.04,79.87,99.74,9.06,0.044,0.028,0.051,0.066,0.812,0.5803981165590549
2020-03-11,52,0,0.0,0.000623739252043076,8.0,11.0,15.0,5.0,4.0,0.0,88.53,74.69,91.79,9.06,0.044,0.028,0.051,0.066,0.812,0.5803981165590549
2020-03-12,96,0,0.0,0.0011515186191564477,10.0,22.0,42.0,8.0,-6.0,1.0,79.11,60.15,74.71,9.06,0.044,0.028,0.051,0.066,0.812,0.5803981165590549
2020-03-13,155,0,0.0,0.0018592227705130147,1.0,16.0,49.0,-1.0,-9.0,3.0,77.37,54.57,71.05,9.06,0.044,0.028,0.051,0.066,0.812,0.5803981165590549
2020-03-14,269,1,1.1994985616212998e-05,0.003226651130761297,0.0,23.0,20.0,-1.0,5.0,2.0,62.72,46.55,60.88,9.06,0.044,0.028,0.051,0.066,0.812,0.5803981165590549
2020-03-15,330,5,5.9974928081064994e-05,0.00395834525335029,0.0,14.0,90.0,1.0,3.0,2.0,43.53,29.05,35.92,9.06,0.044,0.028,0.051,0.066,0.812,0.5803981165590549
2020-03-16,464,7,8.3964899313491e-05,0.005565673325922831,0.0,28.0,44.0,-2.0,-9.0,5.0,40.83,22.92,25.56,9.06,0.044,0.028,0.051,0.066,0.812,0.5803981165590549
2020-03-17,646,11,0.000131944841778343,0.007748760708073597,-20.0,16.0,33.0,-12.0,-21.0,9.0,33.97,17.64,18.41,9.06,0.044,0.028,0.051,0.066,0.812,0.5803981165590549
2020-03-18,1344,25,0.00029987464040532496,0.01612126066819027,-24.0,9.0,103.0,-5.0,-28.0,11.0,31.1,15.08,16.32,9.06,0.044,0.028,0.051,0.066,0.812,0.5803981165590549
2020-03-19,2477,31,0.00037184455410260297,0.029711579371359598,-31.0,3.0,62.0,-19.0,-32.0,13.0,27.6,12.93,13.34,9.06,0.044,0.028,0.051,0.066,0.812,0.5803981165590549
