date,cases,deaths,deaths_normalized,cases_normalized,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_driving,apple_walking,maskScore,mask_never,mask_rarely,mask_sometimes,mask_frequently,mask_always,PSScore
2020-03-06,1,0,0.0,0.000249258456093123,7.0,5.0,78.0,11.0,3.0,-2.0,139.4,163.69,7.41,0.074,0.061,0.141,0.243,0.482,-0.16564440092737598
2020-03-07,1,0,0.0,0.000249258456093123,6.0,9.0,72.0,15.0,2.0,-2.0,141.98,181.36,7.41,0.074,0.061,0.141,0.243,0.482,-0.16564440092737598
2020-03-08,1,0,0.0,0.000249258456093123,6.0,7.0,4.0,6.0,1.0,0.0,87.32,93.4,7.41,0.074,0.061,0.141,0.243,0.482,-0.16564440092737598
2020-03-09,1,0,0.0,0.000249258456093123,5.0,4.0,0.0,2.0,2.0,1.0,104.4,100.56,7.41,0.074,0.061,0.141,0.243,0.482,-0.16564440092737598
2020-03-10,2,0,0.0,0.000498516912186246,8.0,12.0,63.0,2.0,3.0,-1.0,112.27,121.56,7.41,0.074,0.061,0.141,0.243,0.482,-0.16564440092737598
2020-03-11,2,0,0.0,0.000498516912186246,12.0,11.0,95.0,18.0,3.0,-2.0,110.15,117.37,7.41,0.074,0.061,0.141,0.243,0.482,-0.16564440092737598
2020-03-12,2,0,0.0,0.000498516912186246,11.0,22.0,91.0,17.0,0.0,-2.0,114.25,118.06,7.41,0.074,0.061,0.141,0.243,0.482,-0.16564440092737598
2020-03-13,2,0,0.0,0.000498516912186246,4.0,24.0,1.0,13.0,-5.0,2.0,122.17,121.86,7.41,0.074,0.061,0.141,0.243,0.482,-0.16564440092737598
2020-03-14,2,0,0.0,0.000498516912186246,-6.0,17.0,-31.0,9.0,-5.0,3.0,105.46,125.25,7.41,0.074,0.061,0.141,0.243,0.482,-0.16564440092737598
2020-03-15,3,0,0.0,0.0007477753682793688,-7.0,11.0,-35.0,-1.0,-5.0,2.0,70.85,71.27,7.41,0.074,0.061,0.141,0.243,0.482,-0.16564440092737598
2020-03-16,3,0,0.0,0.0007477753682793688,-1.0,27.0,-38.0,-7.0,-17.0,7.0,87.19,91.02,7.41,0.074,0.061,0.141,0.243,0.482,-0.16564440092737598
2020-03-17,4,0,0.0,0.000997033824372492,-7.0,33.0,3.0,-4.0,-22.0,7.0,81.54,85.74,7.41,0.074,0.061,0.141,0.243,0.482,-0.16564440092737598
2020-03-18,4,0,0.0,0.000997033824372492,-18.0,19.0,38.0,-2.0,-26.0,9.0,75.66,80.59,7.41,0.074,0.061,0.141,0.243,0.482,-0.16564440092737598
2020-03-19,5,1,0.000249258456093123,0.0012462922804656147,-26.0,12.0,10.0,-13.0,-32.0,13.0,71.81,77.45,7.41,0.074,0.061,0.141,0.243,0.482,-0.16564440092737598
2020-03-20,5,1,0.000249258456093123,0.0012462922804656147,-29.0,13.0,-8.0,-11.0,-33.0,13.0,80.14,81.85,7.41,0.074,0.061,0.141,0.243,0.482,-0.16564440092737598
2020-03-21,5,1,0.000249258456093123,0.0012462922804656147,-41.0,-1.0,-26.0,-7.0,-23.0,9.0,63.2,67.96,7.41,0.074,0.061,0.141,0.243,0.482,-0.16564440092737598
2020-03-22,6,1,0.000249258456093123,0.0014955507365587376,-43.0,-9.0,-53.0,-27.0,-31.0,10.0,44.14,45.21,7.41,0.074,0.061,0.141,0.243,0.482,-0.16564440092737598
2020-03-23,11,1,0.000249258456093123,0.0027418430170243527,-31.0,-5.0,-16.0,-23.0,-33.0,15.0,64.65,74.68,7.41,0.074,0.061,0.141,0.243,0.482,-0.16564440092737598
2020-03-24,12,1,0.000249258456093123,0.0029911014731174752,-28.0,1.0,41.0,-18.0,-36.0,14.0,67.95,79.52,7.41,0.074,0.061,0.141,0.243,0.482,-0.16564440092737598
2020-03-25,27,1,0.000249258456093123,0.00672997831451432,-25.0,0.0,69.0,-12.0,-36.0,13.0,69.37,84.12,7.41,0.074,0.061,0.141,0.243,0.482,-0.16564440092737598
2020-03-26,41,1,0.000249258456093123,0.010219596699818041,-33.0,-6.0,41.0,-17.0,-40.0,15.0,67.71,79.68,7.41,0.074,0.061,0.141,0.243,0.482,-0.16564440092737598
2020-03-27,49,1,0.000249258456093123,0.012213664348563025,-38.0,-9.0,18.0,-22.0,-40.0,17.0,74.04,81.36,7.41,0.074,0.061,0.141,0.243,0.482,-0.16564440092737598
2020-03-28,57,3,0.0007477753682793688,0.01420773199730801,-42.0,-9.0,-15.0,-13.0,-32.0,11.0,62.0,75.22,7.41,0.074,0.061,0.141,0.243,0.482,-0.16564440092737598
2020-03-29,61,3,0.0007477753682793688,0.0152047658216805,-42.0,-18.0,-22.0,-22.0,-36.0,10.0,44.82,56.18,7.41,0.074,0.061,0.141,0.243,0.482,-0.16564440092737598
